activation,intrinsic_dim,eps_mean,eps_std,fid_mean,fid_std
identity,4,1.3747318142369823e-08,1.765041608332129e-08,1.0,0.0
identity,8,1.4322222144560175e-08,1.681557026670071e-08,1.0,0.0
identity,16,1.269977403771536e-08,1.3525228934614677e-08,1.0,0.0
identity,32,1.333445930960452e-08,1.496494123060504e-08,1.0,0.0
identity,64,1.1395970556670654e-08,1.4004553442882613e-08,1.0,0.0
identity,128,1.114152424492153e-08,1.3529603187577132e-08,1.0,0.0
identity,256,8.91168793554476e-09,1.3314272057929116e-08,1.0,0.0
tanh,4,0.01818028804885642,0.0029470475778313335,0.9939866666666667,0.002311550208802736
tanh,8,0.03135134139275606,0.0046250512610128474,0.9896733333333334,0.0034258583956617867
tanh,16,0.04714963872244628,0.0033551608948937995,0.9843533333333333,0.0021799609824622
tanh,32,0.0817367961214067,0.00393095485217667,0.9707533333333332,0.003394796559171249
tanh,64,0.1263820747668839,0.004559011635117809,0.9551733333333333,0.005178132623954648
tanh,128,0.1918367341702178,0.0021709912059947835,0.9359,0.0043227545496536835
tanh,256,0.26456206742389865,0.0019834907004039866,0.9163333333333333,0.004674017199541431
gelu,4,0.1584357148142314,0.012219956262598015,0.9617533333333333,0.010251820135563935
gelu,8,0.21041819493008793,0.01441577540191306,0.9421,0.016543172359742175
gelu,16,0.2590660085180522,0.008488213766015225,0.9338333333333334,0.0070138942566649685
gelu,32,0.3341351950472375,0.006935802884964794,0.9063266666666666,0.009850535897668945
gelu,64,0.39650090676061284,0.005461935673402938,0.88442,0.008876835410018137
gelu,128,0.45026769449096066,0.003318409499708249,0.8596333333333334,0.008769867428453208
gelu,256,0.4768653887690497,0.003574176178675093,0.8454333333333334,0.008393607310218942
relu,4,0.4250971738421395,0.005263885057898446,0.8378066666666667,0.05983592470295309
relu,8,0.4286316515994433,0.004768617367464758,0.8458466666666666,0.015757794641193396
relu,16,0.42672098825668275,0.003527999266417751,0.85416,0.015559487625639018
relu,32,0.4282613838409045,0.0052226034184549245,0.8447066666666667,0.014330746625719629
relu,64,0.42799852843647723,0.004732576002653857,0.8488066666666666,0.010436207969449902
relu,128,0.42814996229721664,0.004631469162080599,0.8474733333333333,0.010153101558852212
relu,256,0.42869365651585684,0.004666688104510089,0.8512733333333333,0.010217292081137022
